date,stock_id,revenue_mon(bil),yoy%,name
2024/1/1,2885,105.7,,元大金
2024/2/1,2885,87.23,,
2024/3/1,2885,117.2,,
2024/4/1,2885,83.54,,
2024/5/1,2885,85.48,,
2024/6/1,2885,110.8,,
2024/7/1,2885,132.1,,
2024/8/1,2885,84.06,,
2024/9/1,2885,93.81,,
2024/10/1,2885,100.7,,
2024/11/1,2885,114.3,,
2024/12/1,2885,92,,
2025/1/1,2885,106.8,,
2025/2/1,2885,103.7,,
2025/3/1,2885,101.7,,
2025/4/1,2885,76.04,,
2025/5/1,2885,64.96,,
2025/6/1,2885,96.55,,
2025/7/1,2885,108.2,,
2025/8/1,2885,118.4,,
2025/9/1,2885,121.6,,
2025/10/1,2885,128.4,,
2025/11/1,2885,132.5,,
2025/12/1,2885,125.3,36.2,
